"metabolite","species","rho","p","FDR","abs_rho","sig_p05","sig_fdr05","sig_fdr10"
"Pentose alcohols","Bifidobacterium longum",-0.520577790102698,2.04133339607982e-08,2.2454667356878e-07,0.520577790102698,TRUE,TRUE,TRUE
"Phenylacetyl-L-glutamine","Bifidobacterium longum",-0.500887011437248,8.25178919503921e-08,9.07696811454313e-07,0.500887011437248,TRUE,TRUE,TRUE
"Orotidine","Bifidobacterium longum",-0.475153200698608,4.50760320026725e-07,4.95836352029398e-06,0.475153200698608,TRUE,TRUE,TRUE
"Hydroxyphenylacetic acids","Bifidobacterium longum",-0.46443643782724,8.78388953510646e-07,9.66227848861711e-06,0.46443643782724,TRUE,TRUE,TRUE
"Glucuronic acid","Bifidobacterium longum",-0.44946465611782,2.14950920076473e-06,2.3644601208412e-05,0.44946465611782,TRUE,TRUE,TRUE
"Quinolinic acid","Bifidobacterium longum",-0.441033834217958,3.4931490220208e-06,3.84246392422288e-05,0.441033834217958,TRUE,TRUE,TRUE
"Threitol","Bifidobacterium longum",-0.436043240314818,4.62824396741012e-06,5.09106836415113e-05,0.436043240314818,TRUE,TRUE,TRUE
"Pseudouridine","Bifidobacterium longum",-0.434424975171623,5.06556058302857e-06,5.57211664133143e-05,0.434424975171623,TRUE,TRUE,TRUE
"N-Acetyl-l-phenylalanine","Bifidobacterium longum",-0.431856120713544,5.84063495525156e-06,6.42469845077672e-05,0.431856120713544,TRUE,TRUE,TRUE
"Acetamidobutanoic acid","Bifidobacterium longum",-0.428744072361246,6.92939366893284e-06,7.62233303582612e-05,0.428744072361246,TRUE,TRUE,TRUE
"Galacturonic acid","Bifidobacterium longum",-0.422542608735575,9.69294500121093e-06,0.00010662239501332,0.422542608735575,TRUE,TRUE,TRUE
"Indolelactic acid","Eggerthella lenta",-0.407264959590769,2.15530489446978e-05,0.000237083538391675,0.407264959590769,TRUE,TRUE,TRUE
"N6-Acetyl-L-lysine","Bifidobacterium longum",-0.40517172066002,2.39748457092931e-05,0.000263723302802224,0.40517172066002,TRUE,TRUE,TRUE
"N-Acetylneuraminic acid","Bifidobacterium longum",-0.403474239740585,2.61235780264177e-05,0.000287359358290595,0.403474239740585,TRUE,TRUE,TRUE
"Pantothenic acid","Eggerthella lenta",-0.397901552649947,3.45140013687457e-05,0.000379654015056203,0.397901552649947,TRUE,TRUE,TRUE
"N-Acetyl-L-alanine","Bifidobacterium longum",-0.397114344562434,3.58846966271992e-05,0.000394731662899191,0.397114344562434,TRUE,TRUE,TRUE
"N-Acetyl-l-phenylalanine","Streptococcus salivarius",-0.372861322010298,0.000113644395552541,0.000625044175538973,0.372861322010298,TRUE,TRUE,TRUE
"p-Hydroxyphenyllactic acid","Escherichia coli",0.385720497829249,6.23716572788053e-05,0.000686088230066858,0.385720497829249,TRUE,TRUE,TRUE
"N-Acetyl-L-aspartic acid","Eggerthella lenta",0.377940890809351,8.99325858051049e-05,0.000989258443856154,0.377940890809351,TRUE,TRUE,TRUE
"N6,N6,N6-Trimethyl-L-lysine","Bifidobacterium longum",-0.373440144006043,0.00011067550057782,0.00121743050635603,0.373440144006043,TRUE,TRUE,TRUE
"Methylimidazoleacetic acid","Bifidobacterium longum",-0.372478238151696,0.000115649811073803,0.00127214792181184,0.372478238151696,TRUE,TRUE,TRUE
"N-Acetylneuraminic acid","Eggerthella lenta",-0.353777074005787,0.000264659825262432,0.00145562903894337,0.353777074005787,TRUE,TRUE,TRUE
"Hydroxyphenylacetic acids","Eggerthella lenta",-0.352116568341405,0.000284157364401612,0.00156286550420887,0.352116568341405,TRUE,TRUE,TRUE
"N-Acetyl-L-alanine","Escherichia coli",0.345194293844988,0.000380577728427736,0.00209317750635255,0.345194293844988,TRUE,TRUE,TRUE
"Pyridoxic acid","Bifidobacterium longum",-0.351022079330033,0.000297724500826664,0.0032749695090933,0.351022079330033,TRUE,TRUE,TRUE
"Pantothenic acid","Bifidobacterium longum",-0.329237740863946,0.000727825037185064,0.00400303770451785,0.329237740863946,TRUE,TRUE,TRUE
"Phenylacetyl-L-glutamine","Bifidobacterium breve",-0.321886678454994,0.000969969654175083,0.00533483309796296,0.321886678454994,TRUE,TRUE,TRUE
"Indolelactic acid","Bifidobacterium longum",-0.321825407515745,0.000972265304532903,0.00534745917493097,0.321825407515745,TRUE,TRUE,TRUE
"Guanidinosuccinic acid","Bifidobacterium longum",-0.336118196857391,0.000552647862250321,0.00607912648475353,0.336118196857391,TRUE,TRUE,TRUE
"p-Hydroxyphenyllactic acid","Veillonella atypica",0.309607003200102,0.00154271728755556,0.00848494508155558,0.309607003200102,TRUE,TRUE,TRUE
"Butyrylcarnitine","Veillonella atypica",0.311499757511865,0.00143804630118955,0.00947647640405063,0.311499757511865,TRUE,TRUE,TRUE
"Butyrylcarnitine","Veillonella parvula",0.292134612017068,0.00288878226119692,0.00947647640405063,0.292134612017068,TRUE,TRUE,TRUE
"Butyrylcarnitine","Escherichia coli",0.289761509593371,0.00313653067602413,0.00947647640405063,0.289761509593371,TRUE,TRUE,TRUE
"Butyrylcarnitine","Bifidobacterium dentium",0.285808806181208,0.00359177811797583,0.00947647640405063,0.285808806181208,TRUE,TRUE,TRUE
"Butyrylcarnitine","Eggerthella lenta",-0.280420776894898,0.00430748927456847,0.00947647640405063,0.280420776894898,TRUE,TRUE,TRUE
"Pantothenic acid","Escherichia coli",0.292998625733434,0.00280304447087971,0.0102778297265589,0.292998625733434,TRUE,TRUE,TRUE
"Hexose alcohols","Bifidobacterium longum",-0.321644342884339,0.000979078276555369,0.0107698610421091,0.321644342884339,TRUE,TRUE,TRUE
"N-Formyl-L-methionine","Veillonella parvula",-0.30395392608145,0.00189777444554569,0.0117530700093873,0.30395392608145,TRUE,TRUE,TRUE
"N-Formyl-L-methionine","Prevotella denticola",-0.294749822867656,0.00263625462067703,0.0117530700093873,0.294749822867656,TRUE,TRUE,TRUE
"N-Formyl-L-methionine","Bifidobacterium longum",-0.289131925007421,0.00320538272983291,0.0117530700093873,0.289131925007421,TRUE,TRUE,TRUE
"N-Acetyl-l-phenylalanine","Eggerthella lenta",-0.2865092976643,0.00350702122954473,0.012859077841664,0.2865092976643,TRUE,TRUE,TRUE
"Hexoses","Bifidobacterium longum",-0.315024167298541,0.00126015595914758,0.0138617155506234,0.315024167298541,TRUE,TRUE,TRUE
"Pentose alcohols","Eggerthella lenta",-0.294696513092851,0.00264119717618919,0.0145265844690406,0.294696513092851,TRUE,TRUE,TRUE
"Galacturonic acid","Bifidobacterium dentium",-0.29023390217409,0.0030857443735166,0.0169715940543413,0.29023390217409,TRUE,TRUE,TRUE
"Orotidine","Eggerthella lenta",-0.288308178800714,0.0032975159699532,0.0181363378347426,0.288308178800714,TRUE,TRUE,TRUE
"N-Acetyl-l-phenylalanine","Haemophilus parainfluenzae",-0.263564702534219,0.00743806405515387,0.0204546761516731,0.263564702534219,TRUE,TRUE,TRUE
"N-Acetylglycine","Veillonella atypica",-0.303430050506027,0.00193416010404077,0.0212757611444484,0.303430050506027,TRUE,TRUE,TRUE
"Pseudouridine","Eggerthella lenta",-0.283551521949619,0.00387752602109281,0.0213263931160105,0.283551521949619,TRUE,TRUE,TRUE
"Pentose alcohols","Bifidobacterium dentium",-0.267020657300232,0.00666799807016839,0.0244493262572841,0.267020657300232,TRUE,TRUE,TRUE
"Glucuronic acid","Eggerthella lenta",-0.278864052834539,0.00453673462617903,0.0249520404439847,0.278864052834539,TRUE,TRUE,TRUE
"Quinolinic acid","Eggerthella lenta",-0.273034986075197,0.00549485185224738,0.0250307896264722,0.273034986075197,TRUE,TRUE,TRUE
"Quinolinic acid","Escherichia coli",0.266281098990006,0.00682657898903787,0.0250307896264722,0.266281098990006,TRUE,TRUE,TRUE
"N-Acetyl-l-phenylalanine","Veillonella atypica",-0.247690136103343,0.0120745217490438,0.0265639478478964,0.247690136103343,TRUE,TRUE,TRUE
"Pyridoxic acid","Eggerthella lenta",-0.275087555577003,0.00513870354966859,0.0282628695231772,0.275087555577003,TRUE,TRUE,TRUE
"Glucuronic acid","Bifidobacterium dentium",-0.260966761495297,0.00806764072382244,0.0295813493206823,0.260966761495297,TRUE,TRUE,TRUE
"Tartaric acid","Haemophilus parainfluenzae",-0.285069319364622,0.00368324000773589,0.0327205967112867,0.285069319364622,TRUE,TRUE,TRUE
"Tartaric acid","Bifidobacterium longum",-0.262515424190675,0.00768691952457548,0.0327205967112867,0.262515424190675,TRUE,TRUE,TRUE
"Tartaric acid","Prevotella denticola",-0.257706821467877,0.00892379910307818,0.0327205967112867,0.257706821467877,TRUE,TRUE,TRUE
"Phenylacetyl-L-glutamine","Escherichia coli",0.256954582558493,0.0091323542614398,0.0334852989586126,0.256954582558493,TRUE,TRUE,TRUE
"Methylimidazoleacetic acid","Eggerthella lenta",-0.268993269162933,0.00626085729200442,0.0344347151060243,0.268993269162933,TRUE,TRUE,TRUE
"Glucuronic acid","Prevotella denticola",-0.244298898611178,0.0133420749017425,0.0366907059797919,0.244298898611178,TRUE,TRUE,TRUE
"Thiodiacetic acid","Eggerthella lenta",-0.283205583269539,0.00392307089912868,0.0431537798904154,0.283205583269539,TRUE,TRUE,TRUE
"N6-Acetyl-L-lysine","Escherichia coli",0.261793278886735,0.00786243137741311,0.0432433725757721,0.261793278886735,TRUE,TRUE,TRUE
"N-Acetyl-L-tryptophan","Veillonella parvula",-0.269577156774462,0.00614464914996799,0.0443720239810234,0.269577156774462,TRUE,TRUE,TRUE
"N-Acetyl-L-tryptophan","Bifidobacterium dentium",-0.260966761495297,0.00806764072382244,0.0443720239810234,0.260966761495297,TRUE,TRUE,TRUE
"N-Acetyl-L-alanine","Bifidobacterium dentium",-0.247452279138657,0.0121598666315751,0.0445861776491086,0.247452279138657,TRUE,TRUE,TRUE
"N8-Acetylspermidine","Bifidobacterium longum",-0.265548256766733,0.00698700290350028,0.0453104178392371,0.265548256766733,TRUE,TRUE,TRUE
"N8-Acetylspermidine","Escherichia coli",0.260293565989678,0.00823825778895219,0.0453104178392371,0.260293565989678,TRUE,TRUE,TRUE
"Phenyllactic acid","Bifidobacterium longum",-0.280497405397226,0.00429647683646424,0.0472612452011066,0.280497405397226,TRUE,TRUE,TRUE
"Galacturonic acid","Eggerthella lenta",-0.244160637577883,0.0133961232512914,0.0491191185880685,0.244160637577883,TRUE,TRUE,TRUE
"Butyrylcarnitine","Bifidobacterium breve",0.21417129180216,0.0306557165255591,0.0506718220062023,0.21417129180216,TRUE,FALSE,TRUE
"Butyrylcarnitine","Streptococcus salivarius",0.212219516770618,0.0322457049130378,0.0506718220062023,0.212219516770618,TRUE,FALSE,TRUE
"Kynurenine","Escherichia coli",0.27825050569671,0.00463003590605366,0.0509303949665903,0.27825050569671,TRUE,FALSE,TRUE
"p-Hydroxyphenyllactic acid","Veillonella parvula",0.242474246937174,0.0140708552016713,0.0515931357394616,0.242474246937174,TRUE,FALSE,TRUE
"Kynurenine","Veillonella atypica",0.252269014797667,0.0105305054178573,0.0579177797982154,0.252269014797667,TRUE,FALSE,TRUE
"p-Hydroxyphenyllactic acid","Streptococcus salivarius",0.228097467386005,0.0211237949052692,0.0580904359894903,0.228097467386005,TRUE,FALSE,TRUE
"N-Formyl-L-methionine","Eggerthella lenta",-0.22525508871153,0.0228301655533491,0.06278295527171,0.22525508871153,TRUE,FALSE,TRUE
"Orotidine","Prevotella denticola",-0.234094571397311,0.0178794191230121,0.0655578701177109,0.234094571397311,TRUE,FALSE,TRUE
"Hydroxycaproic acid","Bifidobacterium longum",-0.247917088283531,0.0119935775302327,0.0672427449826053,0.247917088283531,TRUE,FALSE,TRUE
"Hydroxycaproic acid","Streptococcus salivarius",0.241025354006137,0.0146739633807474,0.0672427449826053,0.241025354006137,TRUE,FALSE,TRUE
"Hydroxycaproic acid","Veillonella parvula",0.233190877652889,0.0183389304498015,0.0672427449826053,0.233190877652889,TRUE,FALSE,TRUE
"Hexanoylcarnitine","Bifidobacterium longum",-0.269622210973377,0.00613576226030987,0.0674933848634086,0.269622210973377,TRUE,FALSE,TRUE
"p-Anisic acid","Bifidobacterium dentium",-0.253392272858832,0.0101792631980478,0.0679676175321502,0.253392272858832,TRUE,FALSE,TRUE
"p-Anisic acid","Prevotella denticola",-0.241521434455278,0.0144649885466046,0.0679676175321502,0.241521434455278,TRUE,FALSE,TRUE
"p-Anisic acid","Eggerthella lenta",-0.232808083226602,0.0185366229633137,0.0679676175321502,0.232808083226602,TRUE,FALSE,TRUE
"Kynurenine","Veillonella parvula",0.232624818550189,0.0186319175527698,0.0683170310268225,0.232624818550189,TRUE,FALSE,TRUE
"Succinate","Bifidobacterium dentium",-0.255590583094678,0.00952146646016503,0.0707742649449766,0.255590583094678,TRUE,FALSE,TRUE
"Succinate","Eggerthella lenta",0.245532861008865,0.0128680481718139,0.0707742649449766,0.245532861008865,TRUE,FALSE,TRUE
"Threitol","Eggerthella lenta",-0.244668014308666,0.0131987108145016,0.0725929094797588,0.244668014308666,TRUE,FALSE,TRUE
"Galacturonic acid","Streptococcus salivarius",-0.219845261345224,0.0264051182150969,0.0726140750915164,0.219845261345224,TRUE,FALSE,TRUE
"N-Acetyl-l-phenylalanine","Prevotella melaninogenica",-0.201262602005035,0.0425186975645411,0.077950945534992,0.201262602005035,TRUE,FALSE,TRUE
"N-Acetyl-l-phenylalanine","Bifidobacterium dentium",-0.194863686605484,0.0496892976791,0.0780831820671572,0.194863686605484,TRUE,FALSE,TRUE
"Tartaric acid","Eggerthella lenta",-0.216814184917586,0.0286088045440078,0.0786742124960215,0.216814184917586,TRUE,FALSE,TRUE
"Galacturonic acid","Veillonella parvula",-0.200183971374436,0.0436631511593393,0.0840530633951216,0.200183971374436,TRUE,FALSE,TRUE
"Galacturonic acid","Haemophilus parainfluenzae",-0.192766343767309,0.0522464782524276,0.0840530633951216,0.192766343767309,FALSE,FALSE,TRUE
"Galacturonic acid","Prevotella denticola",-0.191778192846741,0.0534883130696229,0.0840530633951216,0.191778192846741,FALSE,FALSE,TRUE
"Hydroxypentanoic acid","Bifidobacterium longum",-0.262096712230547,0.00778825812735927,0.0856708394009519,0.262096712230547,TRUE,FALSE,TRUE
"Glucuronic acid","Veillonella parvula",-0.203438811214963,0.0402856582931507,0.0886284482449315,0.203438811214963,TRUE,FALSE,TRUE
"N6-Acetyl-L-lysine","Prevotella denticola",-0.212917358394931,0.0316694040800659,0.0898090607685361,0.212917358394931,TRUE,FALSE,TRUE
"N6-Acetyl-L-lysine","Bifidobacterium dentium",-0.211726890254036,0.0326578402794677,0.0898090607685361,0.211726890254036,TRUE,FALSE,TRUE
"Succinate","Bifidobacterium longum",-0.222262493321131,0.024752830758654,0.0907603794483981,0.222262493321131,TRUE,FALSE,TRUE
"Phenylacetyl-L-glutamine","Bifidobacterium dentium",-0.211294062331952,0.0330236058284521,0.0908149160282434,0.211294062331952,TRUE,FALSE,TRUE
"Thiodiacetic acid","Bifidobacterium dentium",-0.234456051267669,0.0176984145731577,0.0973412801523671,0.234456051267669,TRUE,FALSE,TRUE
"Guanidinosuccinic acid","Escherichia coli",0.229354205958683,0.0204049471753578,0.0994831067517026,0.229354205958683,TRUE,FALSE,TRUE
"Guanidinosuccinic acid","Veillonella atypica",0.218822799384426,0.027131756386828,0.0994831067517026,0.218822799384426,TRUE,FALSE,TRUE
"N-Acetylneuraminic acid","Haemophilus parainfluenzae",-0.215561000902894,0.0295644623949805,0.108403028781595,0.215561000902894,TRUE,FALSE,FALSE
"N-Acetyl-L-aspartic acid","Bifidobacterium dentium",-0.217034727403799,0.0284433633482308,0.114021775684616,0.217034727403799,TRUE,FALSE,FALSE
"N-Acetyl-L-aspartic acid","Escherichia coli",-0.213621368774457,0.0310968479139862,0.114021775684616,0.213621368774457,TRUE,FALSE,FALSE
"Phenylacetyl-L-glutamine","Eggerthella lenta",-0.192413976682635,0.0526865545837791,0.115910420084314,0.192413976682635,FALSE,FALSE,FALSE
"Hexadecanedioic acid","Bifidobacterium breve",0.252001021635619,0.0106158591338803,0.116774450472684,0.252001021635619,TRUE,FALSE,FALSE
"Phenylalanine","Veillonella parvula",0.233824863847913,0.0180155087383261,0.117742133720888,0.233824863847913,TRUE,FALSE,FALSE
"Phenylalanine","Prevotella denticola",0.227611285203266,0.021407660676525,0.117742133720888,0.227611285203266,TRUE,FALSE,FALSE
"Orotidine","Bifidobacterium dentium",-0.19889012530171,0.0450696402403213,0.123941510660884,0.19889012530171,TRUE,FALSE,FALSE
"Methylimidazoleacetic acid","Bifidobacterium dentium",-0.209853200959752,0.034266198933571,0.125642729423094,0.209853200959752,TRUE,FALSE,FALSE
"N-Acetyl-L-aspartic acid","Haemophilus parainfluenzae",0.198033022077452,0.0460219233052387,0.126560289089407,0.198033022077452,TRUE,FALSE,FALSE
"Quinolinic acid","Prevotella denticola",-0.197439654030274,0.0466909129676235,0.128400010660965,0.197439654030274,TRUE,FALSE,FALSE
"Guanidinosuccinic acid","Streptococcus salivarius",0.195903043128909,0.0484608998983452,0.133267474720449,0.195903043128909,TRUE,FALSE,FALSE
"Glucuronic acid","Streptococcus salivarius",-0.177433820085257,0.0744085500766995,0.136415675140616,0.177433820085257,FALSE,FALSE,FALSE
"N-Acetylglycine","Bifidobacterium longum",-0.221877730979393,0.0250097759094346,0.13755376750189,0.221877730979393,TRUE,FALSE,FALSE
"N-Acetyl-L-alanine","Prevotella denticola",-0.193277262541843,0.0516137657519577,0.141937855817884,0.193277262541843,FALSE,FALSE,FALSE
"Citric acid/Isocitric acid","Streptococcus salivarius",0.24536502343545,0.0129316481941814,0.142248130135996,0.24536502343545,TRUE,FALSE,FALSE
"N6,N6,N6-Trimethyl-L-lysine","Bifidobacterium dentium",-0.220525826301659,0.0259306927524242,0.142618810138333,0.220525826301659,TRUE,FALSE,FALSE
"Tartaric acid","Veillonella parvula",-0.180343599824792,0.069702950720718,0.15334649158558,0.180343599824792,FALSE,FALSE,FALSE
"N-Acetylneuraminic acid","Bifidobacterium dentium",-0.188137768500472,0.0582744938188076,0.160254858001721,0.188137768500472,FALSE,FALSE,FALSE
"Pentose alcohols","Haemophilus parainfluenzae",-0.1876298530109,0.0589692964289718,0.162165565179672,0.1876298530109,FALSE,FALSE,FALSE
"Pantothenic acid","Prevotella denticola",-0.179679102414192,0.0707557769069258,0.163340990177674,0.179679102414192,FALSE,FALSE,FALSE
"Pantothenic acid","Haemophilus parainfluenzae",-0.176149677818004,0.0765649581865667,0.163340990177674,0.176149677818004,FALSE,FALSE,FALSE
"Pantothenic acid","Veillonella atypica",0.167548425094524,0.0923321114867963,0.163340990177674,0.167548425094524,FALSE,FALSE,FALSE
"Pantothenic acid","Streptococcus salivarius",0.161931746349574,0.103944266476702,0.163340990177674,0.161931746349574,FALSE,FALSE,FALSE
"Citric acid/Isocitric acid","Bifidobacterium breve",0.213978831707242,0.0308094962505972,0.169452229378284,0.213978831707242,TRUE,FALSE,FALSE
"Butyrylcarnitine","Bifidobacterium longum",-0.152926056031929,0.124910803412198,0.171752354691772,0.152926056031929,FALSE,FALSE,FALSE
"Hydroxypentanoic acid","Streptococcus salivarius",0.212845978236791,0.0317279499660101,0.174503724813056,0.212845978236791,TRUE,FALSE,FALSE
"Phenylacetyl-L-glutamine","Veillonella parvula",-0.157497454439809,0.113894927342538,0.183836751466348,0.157497454439809,FALSE,FALSE,FALSE
"Phenylacetyl-L-glutamine","Prevotella denticola",-0.156180994706198,0.116987023660404,0.183836751466348,0.156180994706198,FALSE,FALSE,FALSE
"Lactic acid","Bifidobacterium longum",-0.236227103018353,0.0168342726510792,0.185176999161872,0.236227103018353,TRUE,FALSE,FALSE
"N-Acetyl-l-phenylalanine","Prevotella denticola",-0.148419314051355,0.136554214630624,0.187762045117108,0.148419314051355,FALSE,FALSE,FALSE
"Citric acid/Isocitric acid","Prevotella denticola",-0.192752207674016,0.0522640745452924,0.191634939999406,0.192752207674016,FALSE,FALSE,FALSE
"Hydroxy-methoxyphenylglycol sulfate","Bifidobacterium longum",-0.220881875506657,0.0256853943700797,0.192207101840339,0.220881875506657,TRUE,FALSE,FALSE
"Hydroxy-methoxyphenylglycol sulfate","Escherichia coli",0.209082615025626,0.0349467457891525,0.192207101840339,0.209082615025626,TRUE,FALSE,FALSE
"N-Acetyl-L-aspartic acid","Streptococcus salivarius",0.163287181158205,0.101042439145217,0.192672590292899,0.163287181158205,FALSE,FALSE,FALSE
