"metabolite","species","rho","p","FDR"
"Pentose alcohols","Bifidobacterium longum",-0.520577790102698,2.04133339607982e-08,2.2454667356878e-07
"Phenylacetyl-L-glutamine","Bifidobacterium longum",-0.500887011437248,8.25178919503921e-08,9.07696811454313e-07
"Orotidine","Bifidobacterium longum",-0.475153200698608,4.50760320026725e-07,4.95836352029398e-06
"Hydroxyphenylacetic acids","Bifidobacterium longum",-0.46443643782724,8.78388953510646e-07,9.66227848861711e-06
"Glucuronic acid","Bifidobacterium longum",-0.44946465611782,2.14950920076473e-06,2.3644601208412e-05
"Quinolinic acid","Bifidobacterium longum",-0.441033834217958,3.4931490220208e-06,3.84246392422288e-05
"Threitol","Bifidobacterium longum",-0.436043240314818,4.62824396741012e-06,5.09106836415113e-05
"Pseudouridine","Bifidobacterium longum",-0.434424975171623,5.06556058302857e-06,5.57211664133143e-05
"N-Acetyl-l-phenylalanine","Bifidobacterium longum",-0.431856120713544,5.84063495525156e-06,6.42469845077672e-05
"Acetamidobutanoic acid","Bifidobacterium longum",-0.428744072361246,6.92939366893284e-06,7.62233303582612e-05
"Galacturonic acid","Bifidobacterium longum",-0.422542608735575,9.69294500121093e-06,0.00010662239501332
"Indolelactic acid","Eggerthella lenta",-0.407264959590769,2.15530489446978e-05,0.000237083538391675
"N6-Acetyl-L-lysine","Bifidobacterium longum",-0.40517172066002,2.39748457092931e-05,0.000263723302802224
"N-Acetylneuraminic acid","Bifidobacterium longum",-0.403474239740585,2.61235780264177e-05,0.000287359358290595
"Pantothenic acid","Eggerthella lenta",-0.397901552649947,3.45140013687457e-05,0.000379654015056203
"N-Acetyl-L-alanine","Bifidobacterium longum",-0.397114344562434,3.58846966271992e-05,0.000394731662899191
"N-Acetyl-l-phenylalanine","Streptococcus salivarius",-0.372861322010298,0.000113644395552541,0.000625044175538973
"p-Hydroxyphenyllactic acid","Escherichia coli",0.385720497829249,6.23716572788053e-05,0.000686088230066858
"N-Acetyl-L-aspartic acid","Eggerthella lenta",0.377940890809351,8.99325858051049e-05,0.000989258443856154
"N6,N6,N6-Trimethyl-L-lysine","Bifidobacterium longum",-0.373440144006043,0.00011067550057782,0.00121743050635603
"Methylimidazoleacetic acid","Bifidobacterium longum",-0.372478238151696,0.000115649811073803,0.00127214792181184
"N-Acetylneuraminic acid","Eggerthella lenta",-0.353777074005787,0.000264659825262432,0.00145562903894337
"Hydroxyphenylacetic acids","Eggerthella lenta",-0.352116568341405,0.000284157364401612,0.00156286550420887
"N-Acetyl-L-alanine","Escherichia coli",0.345194293844988,0.000380577728427736,0.00209317750635255
"Pyridoxic acid","Bifidobacterium longum",-0.351022079330033,0.000297724500826664,0.0032749695090933
"Pantothenic acid","Bifidobacterium longum",-0.329237740863946,0.000727825037185064,0.00400303770451785
"Phenylacetyl-L-glutamine","Bifidobacterium breve",-0.321886678454994,0.000969969654175083,0.00533483309796296
"Indolelactic acid","Bifidobacterium longum",-0.321825407515745,0.000972265304532903,0.00534745917493097
"Guanidinosuccinic acid","Bifidobacterium longum",-0.336118196857391,0.000552647862250321,0.00607912648475353
"p-Hydroxyphenyllactic acid","Veillonella atypica",0.309607003200102,0.00154271728755556,0.00848494508155558
"Butyrylcarnitine","Veillonella atypica",0.311499757511865,0.00143804630118955,0.00947647640405063
"Butyrylcarnitine","Veillonella parvula",0.292134612017068,0.00288878226119692,0.00947647640405063
"Butyrylcarnitine","Escherichia coli",0.289761509593371,0.00313653067602413,0.00947647640405063
"Butyrylcarnitine","Bifidobacterium dentium",0.285808806181208,0.00359177811797583,0.00947647640405063
"Butyrylcarnitine","Eggerthella lenta",-0.280420776894898,0.00430748927456847,0.00947647640405063
"Pantothenic acid","Escherichia coli",0.292998625733434,0.00280304447087971,0.0102778297265589
"Hexose alcohols","Bifidobacterium longum",-0.321644342884339,0.000979078276555369,0.0107698610421091
"N-Formyl-L-methionine","Veillonella parvula",-0.30395392608145,0.00189777444554569,0.0117530700093873
"N-Formyl-L-methionine","Prevotella denticola",-0.294749822867656,0.00263625462067703,0.0117530700093873
"N-Formyl-L-methionine","Bifidobacterium longum",-0.289131925007421,0.00320538272983291,0.0117530700093873
"N-Acetyl-l-phenylalanine","Eggerthella lenta",-0.2865092976643,0.00350702122954473,0.012859077841664
"Hexoses","Bifidobacterium longum",-0.315024167298541,0.00126015595914758,0.0138617155506234
"Pentose alcohols","Eggerthella lenta",-0.294696513092851,0.00264119717618919,0.0145265844690406
"Galacturonic acid","Bifidobacterium dentium",-0.29023390217409,0.0030857443735166,0.0169715940543413
"Orotidine","Eggerthella lenta",-0.288308178800714,0.0032975159699532,0.0181363378347426
"N-Acetyl-l-phenylalanine","Haemophilus parainfluenzae",-0.263564702534219,0.00743806405515387,0.0204546761516731
"N-Acetylglycine","Veillonella atypica",-0.303430050506027,0.00193416010404077,0.0212757611444484
"Pseudouridine","Eggerthella lenta",-0.283551521949619,0.00387752602109281,0.0213263931160105
"Pentose alcohols","Bifidobacterium dentium",-0.267020657300232,0.00666799807016839,0.0244493262572841
"Glucuronic acid","Eggerthella lenta",-0.278864052834539,0.00453673462617903,0.0249520404439847
"Quinolinic acid","Eggerthella lenta",-0.273034986075197,0.00549485185224738,0.0250307896264722
"Quinolinic acid","Escherichia coli",0.266281098990006,0.00682657898903787,0.0250307896264722
"N-Acetyl-l-phenylalanine","Veillonella atypica",-0.247690136103343,0.0120745217490438,0.0265639478478964
"Pyridoxic acid","Eggerthella lenta",-0.275087555577003,0.00513870354966859,0.0282628695231772
"Glucuronic acid","Bifidobacterium dentium",-0.260966761495297,0.00806764072382244,0.0295813493206823
"Tartaric acid","Haemophilus parainfluenzae",-0.285069319364622,0.00368324000773589,0.0327205967112867
"Tartaric acid","Bifidobacterium longum",-0.262515424190675,0.00768691952457548,0.0327205967112867
"Tartaric acid","Prevotella denticola",-0.257706821467877,0.00892379910307818,0.0327205967112867
"Phenylacetyl-L-glutamine","Escherichia coli",0.256954582558493,0.0091323542614398,0.0334852989586126
"Methylimidazoleacetic acid","Eggerthella lenta",-0.268993269162933,0.00626085729200442,0.0344347151060243
"Glucuronic acid","Prevotella denticola",-0.244298898611178,0.0133420749017425,0.0366907059797919
"Thiodiacetic acid","Eggerthella lenta",-0.283205583269539,0.00392307089912868,0.0431537798904154
"N6-Acetyl-L-lysine","Escherichia coli",0.261793278886735,0.00786243137741311,0.0432433725757721
"N-Acetyl-L-tryptophan","Veillonella parvula",-0.269577156774462,0.00614464914996799,0.0443720239810234
"N-Acetyl-L-tryptophan","Bifidobacterium dentium",-0.260966761495297,0.00806764072382244,0.0443720239810234
"N-Acetyl-L-alanine","Bifidobacterium dentium",-0.247452279138657,0.0121598666315751,0.0445861776491086
"N8-Acetylspermidine","Bifidobacterium longum",-0.265548256766733,0.00698700290350028,0.0453104178392371
"N8-Acetylspermidine","Escherichia coli",0.260293565989678,0.00823825778895219,0.0453104178392371
"Phenyllactic acid","Bifidobacterium longum",-0.280497405397226,0.00429647683646424,0.0472612452011066
"Galacturonic acid","Eggerthella lenta",-0.244160637577883,0.0133961232512914,0.0491191185880685
